pre_treatment,post_treatment
1.8840364455236127,2.7235017755873847
1.9377310277106292,2.118817839659309
1.5273829249580522,2.378237344675542
1.8719571858623243,2.900498174482297
1.3230110626428768,2.463568002264975
1.4615306099543286,2.9034575961495115
1.7805153198422436,2.6661138177255017
1.1433380126187322,2.7354089171556915
1.6401281642553638,2.5259744483635442
1.633000367450408,2.3033920409651625
1.7442325616920193,2.127143438132091
1.2520143710177867,2.3365506379768237
1.9499542864719952,2.242652615115455
1.6708022500435757,2.523041422704545
1.4219551863308724,2.745946085704283
1.1385815171398885,2.217167083285874
1.2001629142417793,2.782772116589102
1.3576489123497812,2.0223840882745727
1.4988603573947934,2.358483413352434
1.235288246062646,2.4439235507078014
